model,description
500,"BLACK, 12 MONTHS MOT AND SERVICE WHEN SOLD, 12 months MOT, Service history, Excellent bodywork, Black Part leather interior - Excellent Condition, Power steering, Remote central locking, Electric Windows, Electric door mirrors, Air-Conditioning, Alloy Wheels, Sports seats, Radio, CD Player, Telephone Equipment, Blue and Me Connectivity, Tinted Glass, Alarm, Immobiliser, Airbags, Folding rear seats. 4 seats, View Our Large Selection Of Quality Used Vehicles On Our Website. All Major Credit And Debit Cards Accepted. Nationwide Delivery Is Available. Free Local Pick Up From Airport or Train Station Available,, Experian auto check clear, £3,695"
500,"£30 yearly road tax!! 1.2L POP with LOUNGE features incluing blue&me (Fiat's hands free voice control system for mobile and music), air-con, alloy wheels, half leather (blue and white) interior, steering wheel mobile phone and stereo controls, isofix childs saftery points, city steering, , the car will easily return 40 MPG and over, so very economical and very low insurance costs make this a fantastic car for new and experienced drivers., WHITE, 2 owners, Next MOT due 01/07/2015, Part service history, Electric windows, Air conditioning, MP3 player, CD player, Leather trim, Folding rear seats, Child seat points (Isofix system), Alloy wheels, Power steering, Traction control, Driver's airbags, Side airbags, Passenger airbags. 4 seats, £4,600"
polo,"GREEN, Next MOT due 20/05/2016, In Car Entertainment. 5 seats, 1 previous keeper service history toothed belt change good engine nice drive, £585"
focus,"RED, 5 seats, Spares or Repair Project Car Due To Expired MOT - Starts and Drives - Project Cars Are Not Suitable For The General Public However Are Great Value For Mechanics. Please Note. Spares or Repair Projects Are Not Certified By Carbase Hence Not Available For Finance or PX. Viewing Strictly By Appointment Only Mon to Fri (No Weekends) For More Details Please Call John on 01278 769904, - Brent Knoll Clearance Branch TA9 4HH (M5 Junc22) Near Bristol Bath Bridgwater & Taunton. Debit Cards Accepted (Credit Card +3%) Most Cars Are Available To Drive Away Same Day - Appointment Required For Viewing & Test Drive - Please Give Us A Call For More - Project Cars Are Not Suitable For The General Public However Are Great Value For Mechanics. Please Note. Spares or Repair Projects Are Not Certified By Carbase Hence Not Available For Finance or PX. Viewing Strictly By Appointment Only Mon to Fri (No Weekends) For More Details Please Call John on 01278 769904, - Brent Knoll Clearance Branch TA9 4HH (M5 Junc22) Near Bristol Bath Bridgwater & Taunton. Debit Cards Accepted (Credit Card +3%) Most Cars Are Available To Drive Away Same Day - Appointment Required For Viewing & Test Drive - Please Give Us A Call For More, £195"
500,"White, Adjustable Seats, Alarm, Alloy Wheels, CD Player, Central Locking, Driver Airbag, Electric Mirrors, Electronic Stability Programme, Front Electric Windows, Panoramic Glass Roof, PAS, Passenger Airbag, Radio/CD, Rear Parking Sensors, Service History, Service Indicator, Side Airbags, Traction Control, Trip Computer. 4 seats, LOOK WHAT WE GOT HERE... THE VERY POPULAR FIAT 500. THIS IS THE PERFECT EXAMPLE OF A FIAT 500. IT BOASTS WITH FULL LEATHER, PARKING SENSORS AND A PANORAMIC ROOF PLUS MAIN DEALER SERVICE HISTORY AND JUST  #20 A YEAR TAX., £4,600"
corsa,"Electric mirrors, electric windows, sunroof, low mileage, very economical just 1.2 L engine. MOT until mid July. Nice little car, in need of some tlc on the outside (has a couple signs of rust) but is perfect on the inside. Ideal as a first car. I have all the MOT history printed out and all the correct papers. , , The car does have a few downsides and that is the left rear coil spring has gone but the car is still good to drive, it would only be around £80 to fix. It also has a dint in the back which will be easy to pop out. It also has a de-activated black box and a small chip that hasn't got bigger for 10 months. , , I am open to sensible offers. Get in contact if you want more details., BLUE, 5 seats, £345"
focus,"RED, Good Condition, Long MOT Until February 2016, Next MOT due 24/02/2016, Electric Windows, In Car Entertainment, Air conditioning, Alloy wheels, CD Player, Central locking, Power steering, Height adjustable drivers seat, Folding rear seats, Radio. 5 seats, Needs a New Clutch Fitting Hence the Low Price, Viewing Essential, First to View Will Buy, £495"
golf,"1996 Golf mk3 in great condition engine fully working with no problems. Interior clean and in excellent condition. Has a brand new radio with iPod and aux lead connections ., RED, MP3 player, CD player, Spare wheel (Space-saver), Power steering, Driver's airbags. £550"
500,"Metallic BLACK, Half leather interior, air con, 6 speed, CD player, Blue&Me, steering wheel controls, remote central locking, alloy wheels, 12 months MOT, Excellent bodywork, Interior - Excellent Condition, Air Bag Driver, Air Bag Knee, Air Bag Passenger, Air Bag Side, Air-Conditioning, Alloy Wheels, Central Door Locking, Electric Windows, Head Restraints, Immobiliser, In Car Entertainment, Mirrors External, Power-Assisted Steering, Seat Height Adjustment, Spare Wheel, Speakers, Steering Wheel Leather, Steering Wheel Mounted Controls, Tinted Glass, Upholstery Cloth. 4 seats, chrome mirror caps, £4,495"
focus,"Great car, I am simply selling it as it doesn't suit my needs anymore. Owned for a year and have had no breakdowns. It has served me very well and has been used for many road trips. The back seats fold down and allow a lot of space. The CD player works perfectly and also has an auxiliary port, along with all working speakers. As brilliant as this car is, it does need a few tweaks. Aesthetic issues include : gear knob, rear view mirror, small patches of exterior rust, small paintwork damage. It starts and runs perfectly, however it does seem to have a slightly sticky throttle and a slightly squeaky fan belt. The knobs for the side mirrors do not work but the mirrors are in perfect working order. The dial to direct the fan is stuck on windscreen. (Does NOT have a sunroof), RED, 4 owners, Next MOT due 24/07/2015, No service history, Electric windows, Air conditioning, CD player, Folding rear seats, Power steering, Central locking, Driver's airbags, Passenger airbags. 5 seats, £450"
focus,"SILVER, HPI Clear, MOT till July, Some service history, Good all round Condition and DRIVE, Bargain not to be missed, First to see will Buy,, Air-Conditioning, Alloy Wheels, Computer, Electric Windows, Heated Front Screen, In Car Entertainment, Seats Electric. 5 seats, Any trial or inspection welcome, absolute Bargain £495 ovno, USUAL DEALER FACILITIES. MANY MORE CARS IN STOCK PLEASE VISIT WEBSITE:www.leedscarcompany.co.uk, £425"
polo,"Lovely little run around with low milage and a nice pokey 1.4 simple 8v engine. , First 2 owners lived/worked in London and hardly used the car. , 3rd owner kept the car garaged for years and drove it 2/3 times  week over about 150 miles., I brought this car in November as a temp car while changing jobs. Got a large Diesel now due to high millage commutes. , , MOT ran out in Jan but I can put it on if you want because I am certain it will be fine. , , Full Service about 200 miles ago- new plugs, new battery, new HTC leads, full oil change- new filters, brake fluid. Brand new front tires. Brand new head gasket and rotator arm. , , Nice clean interior. non smokers. no dogs., BLACK, Part service history, CD player, Metallic paint, Spare wheel (Space-saver). 5 seats, £500"
corsa,"BLUE, MOT until 21/07/15. Drives okay. Exhaust blowing. Engine runs fine., Please call: David at anytime on 0191 5111037 to arrange a test drive or for any more information., £200"
polo,"WHITE, EXCLUDING 12 MONTHS WARRANTY PX CAR TO CLEAR, 5 seats, PRICE INCLUDING 12 months Warranty {no warranty available on part exchange & clearance cars], £299 p/x to clear"
polo,"Metallic green, 12 months MOT, Good bodywork, Black Cloth interior - Good Condition, Tyre condition Good, 5 seats, £750"
fiesta,"RED, LADY OWNERS LAST 11 YRS !!! LOADS OF BILLS / REC'S / OLD MOT'S ETC. THIS CARE HAS BEEN LOOKED AFTER & IS IN SUCH LOVELYYYYYYYYY !!!! CONDITION !!!, 5 seats, ONLY 54K GENUINE MILES, DOCUMENTED WITH VOSA. TEST DRIVES & PART EX A PLEASURE. OPEN LATE EVENINGS & WEEKENDS. ALL MAJOR CREDIT & DEBIT CARDS ACCEPTED.  NOT MANY LITTLE FIESTA'S WITH SUCH LOW MILEAGE & IN THIS CONDITION TOO !!! SUPER CHEAP & CHEERFUL - READY TO GO - CALL SOON - GARY 07760 490637 FOR MORE INFO., DRIVEAWAY WARRANTY'S,  EXTENDED WARRANTY'S AVAILABLE, ONLY, £370 p/x poss"
golf,"BLUE, Electric windows, Air conditioning, CD player, Height adjustable driver's seat, Folding rear seats, Child seat points (Isofix system), Sports seats, Metallic paint, 15"" Alloy Wheels, Spare wheel (Full), Power steering, Cruise control, Traction control, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £520"
fiesta,"RED, DRIVE AWAY INSURANCE AVAILABLE, OVER 500 CHEAP PX CARS IN STOCK FROM £299-£29,990, Next MOT due 18/09/2015, Electric Windows. L.S.C PX SITE - OLD LIVERPOOL RD WA5 1BU, 01925633701, WWW.TRADECENTREWARRINGTON.CO.UK, £390"
golf,"GOLF GTI FOR SALE. , Well maintained by local Volkswagen specialist garage. Good working order., 156,000 miles. , Currently SORN & NO MOT. , No sensible offer refused., BLACK, 5 seats, £500"
polo,"GREEN, Electric Windows, In Car Entertainment. 5 seats, SELLING AS SPARES OR REPAIR, GOOD RUNNER, ENGINE AND GEAR BOX ARE IN GOOD WORKING ORDER, VISIT OUR SITE FOR MORE PICTURES AND QUALITY USED CARS+ALL CARS HPI CLEAR+FULL VOSA MILEAGE VERIFIED, Experian auto check clear, £400 ono"
focus,"BLUE, ZETEC 1600 ESTATE..DRIVES GOOD. NO RIPS OR TARES INSIDE.GOOD TYRES. .FULL SERVICE HISTORY. JUST TWO OWNERS FROM NEW, Next MOT due 12/11/2015, Alloy Wheels, Electric Windows, In Car Entertainment, Air conditioning, Central locking, Electric door mirrors, Power steering, CD Player. WOULD SUIT PAINTER AND BUILDER OR JUST A CHEAP SECOND CAR . FOR UNDER £300, Few age related marks plus scrape to N.S.R.  >>>>>>>>>LOOK AT PICTURE. Drivers mirror works but is taped up (scrap yard £15) dont miss out ............IN KENT, £295"
focus,"SILVER, FULL SERVICE HISTORY INCLUDING 9 SERVICE STAMPS ,STARTS AND DRIVES FINE (PROBLEM IS THE CAR IS GIVING ALOT OF SMOKE),NO TAX + TEST,SADLY CAT C IN 2011,, Last serviced on 24/04/2015 at 63,825 miles, Full service history, Excellent bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Excellent, Alloy Wheels, Electric Windows, In Car Entertainment. 5 seats, ***FINANCE AVAILABLE****WE ACCEPT ALL MAJOR CREDIT & DEBIT CARDS * FOR MORE CARS VISIT OUR WEBSITE*, £395"
astra,"Extremely reliable  but on the scruffy side! Has never let me down in 7 years. Category D status is a result of me being careless and scraping the side of the car on a wall 5 years ago and was fully repaired at the time., GREEN, Next MOT due 07/12/2015, 5 seats, £325"
astra,"Aluminium/silver, Car in good condition Starts and drives fine. Can also be used for spares and repairs., Next MOT Due February 12th 2016, car starts but power keeps cutting off, will be sold as Spares and Repairs.. At NTL Car Sales, we are proud to offer you a first class customer service and very competitive pricing. Please browse our stock list at nationaltradelines.co.uk, We stock range of used cars to suit all budgets and lifestyles so we are proud to have the right car for you. Huge choices of vehicles are always in stock. We are based in Birmingham , west midlands area on grosvenor road, B6 7ND. About 50 yards from Aston railway station, 20 yards from queens road Aston police station and 300 yards from Aston villa football club. The nearest motorway is M42, M5 and M6. For directions, please take exist from M6 into junction 6, all major debit/credit cards accepted. Visit www.nationaltradelines.co.uk, Steering Wheel Controls, Radio, Engine Immobiliser, Cassette Player, Adjustable Steering, Passenger Airbag, Drivers Airbag, Power Assisted Steering, Electric Windows, Central Locking, Air Conditioning, £295 p/x welcome"
500,"Owned my 500 for the last 3 years, and has been maintained by ourselves throughout with detailed log of all maintenance carried out. Recent service & MOT in March @ 91,000 miles at a garage with a stamp in the service book. Very good condition throughout except for a small rip in the drivers seat bolster. Usual stonechips as could be expected for a 2nd hand car of this age, but otherwise very clean and tidy. Climate Conrtol, Blue & Me Bluetooth connectivity, WHITE, 3 owners, Next MOT due 24/03/2016, Full service history, Air conditioning, CD player, Power steering. 4 seats, £3,995"
fiesta,"Great first car! , Great runabout, cheap to insure and run, needs gone quick to make room for new car!, SILVER, Next MOT due 15/11/2015, Part service history, Manual sunroof, Electric windows, CD player, Height adjustable driver's seat, Folding rear seats, Alloy wheels, Spare wheel (Full), Power steering, Central locking, Driver's airbags, Passenger airbags. 5 seats, £350"
corsa,"SILVER, SOLD See Website 4 More Choice -MOT till 20th September 2015 - Free Delivery to Help get Your New Car Home - Main Dealer Part Exchange -  3 Months Nationwide Warranty, Air-Conditioning, Sunroof Manual, Electric Windows, In Car Entertainment. 5 seats, ,Anti-Lock Braking System, Power Assisted Steering, Alarm, Immobiliser, HPI Clear www.autocheck.co.uk  ( Experian certificate supplied ),VOSA Verified Mileage Check, Tyres Good All Round, Bodywork In Good Condition, Interior Clean And Tidy, Drives Well With No Issues, Rear Wiper, Rear Demist, High Level Brake Light ,Drivers Seat Height Adjustment, Steering Rake Adjustment, Cup Holders, Vanity Mirror, Storage Compartments, Storage Pockets, Book Pack, Locking Nuts, Integrated Clock, Head Restraints, Seat Belt Pre Tensioners, Two Keys, Professionally Valeted, Non Smoker, Part Exchange Considered, 3 Month Nationwide Warranty Provided By www.a1approved.co.uk , We Are As Flexible As Possible With Viewings Available 8am till 9pm 7 Days, However Viewing Is Strictly By Appointment Only Please ,                                    Call or Text JOHN ,  Tax Can Be Arranged At Cost Company Policy Is To Advertise Our Cars At The Most Competitive Price We Can Therefore We Are Unable To Accept Any  Offers Or Bids, Based On The WIRRAL Close To The M53 And Both Tunnels Please Call To Arrange Viewing 07885 652625, £490"
polo,"GREEN, Air conditioning, CD player, Spare wheel (Full), Power steering. 4 seats, £595"
focus,"very clean car, good condition 3 owners 6 months mot, automatic car very smooth sometimes when engine is warm the gearbox shifts too frequently - been told by local garage just need to change the oil and filter to make sound. However it is fully drivable and not really noticable that there are any issues with it. Viewings welcome please contact me 07706359092 07540070132, BLUE, Next MOT due 12/12/2015, Part service history, Electric windows, Central locking, Immobiliser. 5 seats, £500"
fiesta,"SILVER, MOT to april 2016, 5 seats, £395"
golf,"* Non runner * .  Just needs new clutch and good to go. .  Recently had new alternator ,  pulleys and serpentine belt, starter motor, battery and tyres. New brakes .  Various other bits from recent MOTs.  Got receipts to show everything.    Ideal for spare or repair.  Make me an offer., BLACK, Electric windows, Height adjustable driver's seat, Folding rear seats, Metallic paint, Alloy wheels, Spare wheel (Full), Steering wheel rake adjustment, Steering wheel reach adjustment, Central locking, Alarm, Immobiliser, Driver's airbags, Side airbags, Passenger airbags. 5 seats, £450"
corsa,"Metallic BLUE, ONE LADY OWNER FROM NEW,, 1 owner, Next MOT due 18/07/2015, Last serviced on 08/07/2014 at 73,006 miles, Full dealership history, Excellent bodywork, Grey Cloth interior - Excellent Condition, Tyre condition Good, Sunroof Manual, In Car Entertainment, 3x3 point rear seat belts, Airbags, Alarm, Central locking, Electric door mirrors, Electric windows, Radio, Traction control, CD Player, Power steering, Immobiliser, Leather seats. 5 seats, TOLWORTH CARS,WE ARE BASED IN COBHAM, MANOR FARM, COBHAM, KT113PY , Call dealer now Phone Number Tel: (07475)526552, £499 p/x welcome"
golf,"GREEN, 1.6 ENGINE MOT'D NICE AND CLEAN DRIVES WELL CREAM INTERIOR PRICED TO SELL LADY OWNED NO MAJOR DENTS LAST OWNER 10 YEARS MANUAL GEARBOX 5 DOOR  HPI CLEAR DRIVES WELL, Next MOT due 01/09/2015, Air Conditioning, Climatic Semi - Automatic Control, Cruise Control, Alarm with Interior Protection, Alloy Wheels, Four 6.5J x 16 Cleveland with 205/55 R16 Tyres and Anti-Theft Wheel Bolts, Drivers and Front Passengers Whiplash-Optimised Head Restraints, Electric Windows, Front and Rear, Heat Insulating Green Tinted Glass, Multifunction Computer (Midline), RCD 310 Radio/MP3 Compatible CD Player AUX-in Socket for Connection to an External Multimedia Source. MDI (Multi Device Interface) with USB and iPod Connection Cables, Rain Sensor. 5 seats, £499 p/x considered"
